trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
1021356,362,2015-11-24 18:08:00,Redwood City Caltrain Station,22,2015-11-24 18:14:00,Mezes,83,21,94063,Subscriber
1169080,302,2016-04-19 18:28:00,Redwood City Caltrain Station,22,2016-04-19 18:33:00,Mezes,83,196,94063,Subscriber
969469,225,2015-10-13 18:51:00,Redwood City Caltrain Station,22,2015-10-13 18:55:00,Mezes,83,655,94063,Subscriber
997796,285,2015-11-04 18:07:00,Redwood City Caltrain Station,22,2015-11-04 18:12:00,Mezes,83,657,94063,Subscriber
1080970,284,2016-02-03 18:08:00,Redwood City Caltrain Station,22,2016-02-03 18:12:00,Mezes,83,127,94063,Subscriber
990923,290,2015-10-29 17:33:00,Redwood City Caltrain Station,22,2015-10-29 17:38:00,Mezes,83,52,94063,Subscriber
1114664,318,2016-03-03 18:10:00,Redwood City Caltrain Station,22,2016-03-03 18:15:00,Mezes,83,246,94063,Subscriber
1123791,296,2016-03-14 17:33:00,Redwood City Caltrain Station,22,2016-03-14 17:38:00,Mezes,83,246,94063,Subscriber
1153793,254,2016-04-07 18:08:00,Redwood City Caltrain Station,22,2016-04-07 18:12:00,Mezes,83,642,94063,Subscriber
999506,260,2015-11-05 18:09:00,Redwood City Caltrain Station,22,2015-11-05 18:13:00,Mezes,83,657,94063,Subscriber
940890,279,2015-09-22 11:56:00,Redwood City Caltrain Station,22,2015-09-22 12:00:00,Mezes,83,88,94063,Subscriber
1068467,289,2016-01-22 17:07:00,Redwood City Caltrain Station,22,2016-01-22 17:12:00,Mezes,83,233,94063,Subscriber
992702,272,2015-10-30 18:07:00,Redwood City Caltrain Station,22,2015-10-30 18:12:00,Mezes,83,52,94063,Subscriber
1052902,275,2016-01-06 15:57:00,Redwood City Caltrain Station,22,2016-01-06 16:01:00,Mezes,83,246,94063,Subscriber
1163942,283,2016-04-15 17:07:00,Redwood City Caltrain Station,22,2016-04-15 17:12:00,Mezes,83,642,94063,Subscriber
974374,221,2015-10-16 17:43:00,Redwood City Caltrain Station,22,2015-10-16 17:46:00,Mezes,83,650,94063,Subscriber
950743,263,2015-09-29 17:33:00,Redwood City Caltrain Station,22,2015-09-29 17:37:00,Mezes,83,88,94063,Subscriber
1134883,312,2016-03-23 17:32:00,Redwood City Caltrain Station,22,2016-03-23 17:37:00,Mezes,83,299,94063,Subscriber
1160949,270,2016-04-13 18:08:00,Redwood City Caltrain Station,22,2016-04-13 18:12:00,Mezes,83,642,94063,Subscriber
1067727,282,2016-01-21 18:08:00,Redwood City Caltrain Station,22,2016-01-21 18:12:00,Mezes,83,233,94063,Subscriber
934706,243,2015-09-17 09:22:00,Redwood City Caltrain Station,22,2015-09-17 09:26:00,Mezes,83,215,94707,Subscriber
1129807,293,2016-03-18 17:07:00,Redwood City Caltrain Station,22,2016-03-18 17:12:00,Mezes,83,44,94063,Subscriber
1034666,271,2015-12-09 20:23:00,Redwood City Caltrain Station,22,2015-12-09 20:28:00,Mezes,83,84,94063,Subscriber
938968,180,2015-09-21 09:29:00,Redwood City Caltrain Station,22,2015-09-21 09:32:00,Mezes,83,256,94707,Subscriber
1157361,240,2016-04-11 18:07:00,Redwood City Caltrain Station,22,2016-04-11 18:11:00,Mezes,83,642,94063,Subscriber
954253,213,2015-10-01 19:27:00,Redwood City Caltrain Station,22,2015-10-01 19:30:00,Mezes,83,102,94063,Subscriber
1004458,265,2015-11-10 18:08:00,Redwood City Caltrain Station,22,2015-11-10 18:13:00,Mezes,83,182,94063,Subscriber
1016549,225,2015-11-19 21:34:00,Redwood City Caltrain Station,22,2015-11-19 21:37:00,Mezes,83,28,94063,Subscriber
980145,352,2015-10-21 17:31:00,Redwood City Caltrain Station,22,2015-10-21 17:37:00,Mezes,83,650,94063,Subscriber
955298,286,2015-10-02 16:20:00,Redwood City Caltrain Station,22,2015-10-02 16:24:00,Mezes,83,102,94063,Subscriber
1172486,235,2016-04-21 18:31:00,Redwood City Caltrain Station,22,2016-04-21 18:35:00,Mezes,83,91,94063,Subscriber
1099118,294,2016-02-19 17:07:00,Redwood City Caltrain Station,22,2016-02-19 17:12:00,Mezes,83,196,94063,Subscriber
931595,462,2015-09-15 12:56:00,MLK Library,11,2015-09-15 13:03:00,Japantown,9,298,95113,Subscriber
